証券コード,企業名,17業種区分,EDINETコード
9223,ＡＳＮＯＶＡ,情報通信・サービスその他,E35797
9227,マイクロ波化学,情報通信・サービスその他,E37740
9229,サンウェルズ,情報通信・サービスその他,E37719
9238,バリュークリエーション,情報通信・サービスその他,E39089
9245,リベロ,情報通信・サービスその他,E36883
9246,プロジェクトホールディングス,情報通信・サービスその他,E36896
9247,ＴＲＥホールディングス,情報通信・サービスその他,E36751
9253,スローガン,情報通信・サービスその他,E37006
9254,ラバブルマーケティンググループ,情報通信・サービスその他,E37159
9256,サクシード,情報通信・サービスその他,E37221
9268,オプティマスグループ,商社・卸売,E33616
9271,和心,小売,E33858
9272,ブティックス,情報通信・サービスその他,E33882
9274,ＫＰＰグループホールディングス,商社・卸売,E02516
9301,三菱倉庫,運輸・物流,E04283
9302,三井倉庫ホールディングス,運輸・物流,E04284
9303,住友倉庫,運輸・物流,E04285
9304,澁澤倉庫,運輸・物流,E04286
9305,ヤマタネ,商社・卸売,E04291
9306,東陽倉庫,運輸・物流,E04287
9307,杉村倉庫,運輸・物流,E04294
9308,乾汽船,運輸・物流,E04288
9311,アサガミ,運輸・物流,E04323
9312,ケイヒン,運輸・物流,E04293
9319,中央倉庫,運輸・物流,E04304
9322,川西倉庫,運輸・物流,E04317
9324,安田倉庫,運輸・物流,E04290
9325,ファイズホールディングス,運輸・物流,E32990
9326,関通,運輸・物流,E35493
9327,イー・ロジット,運輸・物流,E36405
9332,ＮＩＳＳＯホールディングス,情報通信・サービスその他,E38723
9336,大栄環境,情報通信・サービスその他,E38148
9337,トリドリ,情報通信・サービスその他,E38162
9338,ＩＮＦＯＲＩＣＨ,情報通信・サービスその他,E38192
9339,コーチ・エィ,情報通信・サービスその他,E38178
9341,ＧＥＮＯＶＡ,情報通信・サービスその他,E38215
9343,アイビス,情報通信・サービスその他,E38440
9345,ビズメイツ,情報通信・サービスその他,E38450
9347,日本管財ホールディングス,情報通信・サービスその他,E37788
9348,ｉｓｐａｃｅ,情報通信・サービスその他,E37584
9351,東洋埠頭,運輸・物流,E04321
9353,櫻島埠頭,運輸・物流,E04322
9355,リンコーコーポレーション,運輸・物流,E04326
9362,兵機海運,運輸・物流,E04342
9363,大運,運輸・物流,E04247
9364,上組,運輸・物流,E04345
9365,トレーディア,運輸・物流,E04346
9366,サンリツ,運輸・物流,E04353
9367,大東港運,運輸・物流,E04356
9368,キムラユニティー,運輸・物流,E04357
9381,エーアイテイー,運輸・物流,E04369
9385,ショーエイコーポレーション,素材・化学,E21815
9401,ＴＢＳホールディングス,情報通信・サービスその他,E04375
9404,日本テレビホールディングス,情報通信・サービスその他,E04410
9405,朝日放送グループホールディングス,情報通信・サービスその他,E04380
9408,ＢＳＮメディアホールディングス,情報通信・サービスその他,E04399
9409,テレビ朝日ホールディングス,情報通信・サービスその他,E04414
9412,スカパーＪＳＡＴホールディングス,情報通信・サービスその他,E04497
9413,テレビ東京ホールディングス,情報通信・サービスその他,E24545
9416,ビジョン,情報通信・サービスその他,E30010
9419,ワイヤレスゲート,情報通信・サービスその他,E26675
9423,フォーバル・リアルストレート,情報通信・サービスその他,E05528
9424,日本通信,情報通信・サービスその他,E04473
9425,ＲｅＹｕｕ　Ｊａｐａｎ,情報通信・サービスその他,E05481
9428,クロップス,情報通信・サービスその他,E05504
9432,ＮＴＴ,情報通信・サービスその他,E04430
9433,ＫＤＤＩ,情報通信・サービスその他,E04425
9434,ソフトバンク,情報通信・サービスその他,E04426
9435,光通信,情報通信・サービスその他,E04948
9436,沖縄セルラー電話,情報通信・サービスその他,E04460
9441,ベルパーク,情報通信・サービスその他,E03342
9444,トーシンホールディングス,情報通信・サービスその他,E05137
9445,フォーバルテレコム,情報通信・サービスその他,E04476
9449,ＧＭＯインターネットグループ,情報通信・サービスその他,E05041
9466,アイドママーケティングコミュニケーション,情報通信・サービスその他,E32198
9467,アルファポリス,情報通信・サービスその他,E30908
9468,ＫＡＤＯＫＡＷＡ,情報通信・サービスその他,E30731
9474,ゼンリン,情報通信・サービスその他,E00717
9475,昭文社ホールディングス,情報通信・サービスその他,E00721
9478,ＳＥホールディングス・アンド・インキュベーションズ,情報通信・サービスその他,E00728
9501,東京電力ホールディングス,電力・ガス,E04498
9502,中部電力,電力・ガス,E04502
9503,関西電力,電力・ガス,E04499
9504,中国電力,電力・ガス,E04504
9505,北陸電力,電力・ガス,E04503
9506,東北電力,電力・ガス,E04501
9507,四国電力,電力・ガス,E04505
9508,九州電力,電力・ガス,E04506
9509,北海道電力,電力・ガス,E04500
9511,沖縄電力,電力・ガス,E04509
9513,電源開発,電力・ガス,E04510
9517,イーレックス,電力・ガス,E31065
9519,レノバ,電力・ガス,E32967
9531,東京瓦斯,電力・ガス,E04514
9532,大阪瓦斯,電力・ガス,E04520
9533,東邦瓦斯,電力・ガス,E04517
9534,北海道瓦斯,電力・ガス,E04511
9535,広島ガス,電力・ガス,E04521
9536,西部ガスホールディングス,電力・ガス,E04523
9537,北陸瓦斯,電力・ガス,E04519
9539,京葉瓦斯,電力・ガス,E04515
9543,静岡ガス,電力・ガス,E04516
9551,メタウォーター,電力・ガス,E31064
9561,グラッドキューブ,情報通信・サービスその他,E37979
9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,情報通信・サービスその他,E37985
9601,松竹,情報通信・サービスその他,E04582
9602,東宝,情報通信・サービスその他,E04583
9605,東映,情報通信・サービスその他,E04585
9612,ラックランド,情報通信・サービスその他,E04914
9616,共立メンテナンス,情報通信・サービスその他,E04908
9619,イチネンホールディングス,情報通信・サービスその他,E04904
9621,建設技術研究所,情報通信・サービスその他,E04903
9622,スペース,情報通信・サービスその他,E04902
9625,セレスポ,情報通信・サービスその他,E04899
9627,アインホールディングス,小売,E04896
9628,燦ホールディングス,情報通信・サービスその他,E04895
9629,ピー・シー・エー,情報通信・サービスその他,E04894
9632,スバル興業,情報通信・サービスその他,E04599
9633,東京テアトル,不動産,E04589
9635,武蔵野興業,情報通信・サービスその他,E04591
9636,きんえい,情報通信・サービスその他,E04592
9639,三協フロンテア,情報通信・サービスその他,E04890
9644,タナベコンサルティンググループ,情報通信・サービスその他,E04887
9656,グリーンランドリゾート,情報通信・サービスその他,E04693
9658,ビジネスブレイン太田昭和,情報通信・サービスその他,E04869
9661,歌舞伎座,情報通信・サービスその他,E04606
9663,ナガワ,情報通信・サービスその他,E04867
9672,東京都競馬,情報通信・サービスその他,E04603
9682,ＤＴＳ,情報通信・サービスその他,E04861
9684,スクウェア・エニックス・ホールディングス,情報通信・サービスその他,E04859
9685,ＫＹＣＯＭホールディングス,情報通信・サービスその他,E04858
9686,東洋テック,情報通信・サービスその他,E04857
9687,ＫＳＫ,情報通信・サービスその他,E04856
9691,両毛システムズ,情報通信・サービスその他,E04855
9692,シーイーシー,情報通信・サービスその他,E04853
9697,カプコン,情報通信・サービスその他,E02417
9698,クレオ,情報通信・サービスその他,E04849
9701,東京會舘,情報通信・サービスその他,E04535
9702,アイ・エス・ビー,情報通信・サービスその他,E04846
9704,アゴーラ　ホスピタリティー　グループ,情報通信・サービスその他,E04538
9706,日本空港ビルデング,不動産,E03863
9708,帝国ホテル,情報通信・サービスその他,E04539
9709,ＮＣＳ＆Ａ,情報通信・サービスその他,E04841
9713,ロイヤルホテル,情報通信・サービスその他,E04540
9715,トランス・コスモス,情報通信・サービスその他,E04837
9716,乃村工藝社,情報通信・サービスその他,E04835
9719,ＳＣＳＫ,情報通信・サービスその他,E04830
9722,藤田観光,情報通信・サービスその他,E04560
9723,京都ホテル,情報通信・サービスその他,E04550
9726,ＫＮＴ－ＣＴホールディングス,情報通信・サービスその他,E04348
9729,トーカイ,情報通信・サービスその他,E04826
9731,白洋舎,情報通信・サービスその他,E04754
9733,ナガセ,情報通信・サービスその他,E04824
9735,セコム,情報通信・サービスその他,E04773
9739,ＮＳＷ,情報通信・サービスその他,E04952
9742,アイネス,情報通信・サービスその他,E04803
9743,丹青社,情報通信・サービスその他,E00208
9744,メイテックグループホールディングス,情報通信・サービスその他,E04804
9753,アイエックス・ナレッジ,情報通信・サービスその他,E04815
9755,応用地質,情報通信・サービスその他,E04816
9757,船井総研ホールディングス,情報通信・サービスその他,E04817
9759,ＮＳＤ,情報通信・サービスその他,E04822
9761,東海リース,情報通信・サービスその他,E04800
9763,丸建リース,商社・卸売,E04777
9766,コナミグループ,情報通信・サービスその他,E01956
9767,日建工学,情報通信・サービスその他,E00187
9768,いであ,情報通信・サービスその他,E04795
9769,学究社,情報通信・サービスその他,E04796
9776,札幌臨床検査センター,情報通信・サービスその他,E04950
9778,昴,情報通信・サービスその他,E04941
9782,ディーエムエス,情報通信・サービスその他,E04940
9788,ナック,情報通信・サービスその他,E04934
9791,ビケンテクノ,情報通信・サービスその他,E04932
9793,ダイセキ,情報通信・サービスその他,E04931
9799,旭情報サービス,情報通信・サービスその他,E04920
9816,ストライダーズ,不動産,E02738
9818,大丸エナウィン,商社・卸売,E02739
9827,リリカラ,商社・卸売,E02743
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,小売,E03176
9831,ヤマダホールディングス,小売,E03139
9832,オートバックスセブン,商社・卸売,E03138
9835,ジュンテンドー,小売,E03141
9842,アークランズ,小売,E02706
9843,ニトリホールディングス,小売,E03144
9845,パーカーコーポレーション,素材・化学,E02708
9846,天満屋ストア,小売,E03146
9849,共同紙販ホールディングス,商社・卸売,E02711
9853,銀座ルノアール,小売,E03147
9854,愛眼,小売,E03148
9856,ケーユーホールディングス,小売,E02714
9857,英和,商社・卸売,E02713
9861,吉野家ホールディングス,小売,E03153
9867,ソレキア,商社・卸売,E02718
9876,コックス,小売,E03163
9878,セキド,小売,E03160
9882,イエローハット,商社・卸売,E02735
9885,シャルレ,商社・卸売,E02727
9887,松屋フーズホールディングス,小売,E03164
9888,ＵＥＸ,商社・卸売,E02728
9889,ＪＢＣＣホールディングス,情報通信・サービスその他,E02729
9895,コンセック,商社・卸売,E01686
9896,ＪＫホールディングス,商社・卸売,E02732
9902,日伝,商社・卸売,E02745
9903,カンセキ,小売,E03179
9904,ベリテ,小売,E03181
9906,藤井産業,商社・卸売,E02747
9908,日本電計,商社・卸売,E02749
9913,日邦産業,商社・卸売,E02752
9914,植松商会,商社・卸売,E02753
9927,ワットマン,小売,E03186
9928,ミロク情報サービス,情報通信・サービスその他,E04877
9929,平和紙業,商社・卸売,E02759
9932,杉本商事,商社・卸売,E02760
9934,因幡電機産業,商社・卸売,E02761
9936,王将フードサービス,小売,E03193
9946,ミニストップ,小売,E03188
9948,アークス,小売,E03199
9955,ヨンキュウ,商社・卸売,E02765
9956,バローホールディングス,小売,E03207
9959,アシードホールディングス,小売,E03208
9962,ミスミグループ本社,商社・卸売,E02770
9969,ショクブン,小売,E03213
9973,ＫＯＺＯホールディングス,小売,E02775
9974,ベルク,小売,E03216
9976,セキチュー,小売,E03219
9982,タキヒヨー,商社・卸売,E02776
9984,ソフトバンクグループ,情報通信・サービスその他,E02778
9986,蔵王産業,商社・卸売,E02779
9987,スズケン,商社・卸売,E02780
9989,サンドラッグ,小売,E03226
9991,ジェコス,商社・卸売,E02782
9993,ヤマザワ,小売,E03228
9994,やまや,小売,E03227
9996,サトー商会,商社・卸売,E02786
9997,ベルーナ,小売,E03229
